GeneID	logFC
DLX3	11.28143531
ELN	11.28143531
GPC3	-11.27704535
IL15RA	-11.27704535
PTPN14	-6.962301634
GNG11	-8.328280487
USP46	-8.324953522
SNCG	11.27629408
GLIS3	-11.26853729
OAS3	-6.769382028
CHRNA1	11.26075953
PGM5	-7.485672064
ZDHHC22	11.25554395
MSX2	-11.24704501
MBNL1	-7.061958641
IFITM2	-6.536997125
ACTL6B	11.25030945
GRK1	11.25030945
RP11-295K3.1	-6.34823307
ADCY2	11.23978312
PPEF1	11.23978312
CA4	11.23449101
PHYHIPL	11.22917942
DANCR	-7.613332353
CAMKV	11.2238482
EMID1	11.2238482
HES6	6.092278452
ADTRP	-11.21197716
KCNK1	-11.20753313
FAT3	-7.598894803
ADRA2C	6.380927115
RND2	6.758898055
OSBPL10	-11.19860379
ACTC1	6.619223471
PAM	-6.153758829
NKX3-1	-7.003364857
EVA1A	-11.1851053
RGL3	-11.1851053
RNF135	-11.1851053
TSPAN10	-6.437867064
BMP2	-7.39782794
SYDE1	-6.2951574
GABRQ	11.16942362
MYRF	-6.184455606
SHF	6.720644752
BCL9L	-6.285028218
LAMB2	-6.030137044
AHNAK	-6.02221052
EYA1	7.057656206
NCEH1	-6.206767946
TBX1	11.13575529
ZBTB21	6.634737865
RIN3	-7.356483002
C1QTNF5	-6.562204247
ENTPD8	7.041683349
CPNE7	-7.512182128
EFHD1	6.736606995
ADRB2	-11.11565078
DTNA	-11.11089939
PPM1E	8.41647939
SOX9	-6.441401176
DRAXIN	11.10708541
GALNT9	7.757800642
ZIC2	6.309296103
EVC2	-11.08205771
ABCG1	11.07783422
ZC3H12C	-11.06741772
VASN	-6.074952015
NOVA2	8.370692119
GPC4	-11.06250453
LIN7A	7.715547625
IL6	-11.04268269
NCAM1	11.04193147
RUNX3	11.04193147
PTCHD3P1	-11.03768438
PTCHD2	7.142140112
FAM129A	-6.547691678
DBH-AS1	6.828643926
CDK5R2	6.03019294
OASL	-11.0326687
SH2D4A	-11.02763552
SLC18A3	11.02976255
SPN	11.02976255
STAC	-11.02258472
CEL	11.02363939
FAM83H	-5.994308538
KCNN4	-6.834376658
SCN3B	6.63412905
GABBR2	7.118234951
ETS1	-5.937637216
MYC	-6.011091506
PCSK2	11.01131453
SYT13	11.01131453
ARHGEF35	-11.0022028
PLXDC2	-6.504771836
TLX2	10.99888348
AJAP1	-6.582181189
B4GALNT3	8.299165572
FAM101A	10.99262756
COL9A2	10.98634438
REEP1	10.98634438
TENM3	-7.206843629
MAPK8IP2	6.003945078
ANKRD65	10.97369535
RAB27B	-10.97107963
WBP5	-6.265982145
CIB2	6.475886044
TRIM5	-10.96582653
PTPRM	-6.288654597
CHMP4C	-10.95526259
TNFRSF12A	-5.856202412
CX3CL1	10.95451139
SARDH	6.507780419
PEX5L	10.94805963
EIF1AY	-10.93927022
OSGIN1	-5.903730155
SRRM4	7.044046795
CNGA3	10.94157889
NPPB	-7.980481401
MIR7-3HG	10.9285294
SLC1A3	10.9285294
DOCK2	-10.92309858
MAST1	7.580814053
LRRC2	-7.976246113
CDKN2B	-6.912025384
AKAP2	-5.90878014
RHOD	-7.15151445
PCAT4	10.92196013
CP	-10.91766749
HMOX1	-5.772093135
CACNA1B	6.529133941
CADPS	8.213569262
ADAMTS9	-10.90674361
NOX4	-10.90674361
MATN2	-5.873044274
PRDM1	6.819886656
LRP1	-5.763625674
RASD1	6.452342144
HKDC1	-6.399362248
FGFR2	10.89537975
FHL1	-10.88464451
FOXJ1	8.192668824
SCRT1	10.88865743
SH3BP1	10.88865743
SLAMF7	-10.87906644
DUSP10	-6.265366242
FXYD3	10.88190363
TSPAN11	6.785770999
GIPR	8.166110152
GRIN2D	6.550894535
CXCL3	-7.906733889
ADAMTS2	-6.297826669
ARMCX1	-7.241817341
CLCF1	-6.353510239
GLTSCR1	-6.830570434
F8A2	-6.652210917
F8A3	-6.652210917
NKD1	8.139053376
SLC29A3	10.83372052
PALD1	-10.8278688
RB1	-10.82206638
LMOD1	10.82670395
LAMC1	-5.765491344
GNGT2	6.331068421
EXTL1	8.122572344
CACNG6	10.81965309
LGALS3	-5.918688687
PLCB2	8.11703656
ABCC8	10.81256759
GCK	10.81256759
TNFRSF18	10.81256759
PHF11	-7.861524064
ZIK1	6.50136708
PRAME	10.80544713
UGT3A1	10.80544713
RBPMS2	8.105900858
ADAMTS4	6.906591035
SOX7	6.205706477
RP11-166D19.1	-10.79269897
TRIM21	-7.843035842
NTSR1	10.7910999
NPNT	10.78387242
TTTY15	-10.78078255
HS3ST1	-10.77478723
MMP1	-10.77478723
ZFY	-10.77478723
CHN2	7.432189249
FBXL16	6.028427922
PTGES	-5.918052105
ADAMTSL3	-6.754983503
ARSD	-6.754983503
HSD11B2	6.275257115
SYNC	-6.349911057
TLX1	10.76197017
CRTAC1	8.060478087
CAND2	7.403441043
THBS4	6.175170013
EMILIN3	6.250301247
NEURL	6.522457279
CPA4	-7.781258466
GLT1D1	10.7247109
CDH4	-5.823829205
GPR56	-5.737232025
KCNF1	10.71714217
FAP	-10.71342248
PCGF5	-10.71342248
SLC4A4	-10.71342248
ADAMTSL4	-6.950070092
AK5	-7.105479385
CACNA2D2	8.013578574
SP140L	-7.746864498
IGDCC3	10.69419477
CCL5	-10.6881266
PSAT1	-6.031334635
LFNG	7.989544411
FAM134B	-6.0231341
MAP1A	5.717759553
SQSTM1	-5.535589825
CFB	-6.912525251
ASMT	10.67869118
ALDH1A3	-5.621733752
RAMP2	10.67087646
FLRT2	-5.966624852
STC2	-5.595333517
LSAMP	-10.65586998
POU4F1	7.318731908
DUSP23	-6.345120404
LRRC4B	6.345198546
OSR2	10.64717506
SLIT3	-5.578781404
SLC7A11	-5.584110739
DPP10	6.434557085
MMP25	-6.083738224
BCL6	-6.021197736
SRCRB4D	10.631155
FOXL2	10.62307777
SLC39A13	-6.308786921
RAB11FIP4	5.813482748
FOXL1	-7.003939633
PDE6B	5.776439906
TCF15	10.60678635
MITF	-10.59592584
OTOP3	10.59857113
SYTL2	-7.649152233
LTBP1	-7.64382149
HOXC9	10.59030886
GSDMD	-6.572675161
C1orf226	6.280607617
TPM2	-5.517131593
HSPA6	5.443825612
SCRT2	10.573641
RP11-58B17.2	7.234189131
HOXC8	10.5652343
SNAP25	10.5652343
LHX2	-5.833787823
CD9	-5.697944599
F2RL2	-5.863345484
ITPRIPL1	7.862973747
EFNA2	6.65847126
SBSN	-6.372501049
CDH22	10.54827249
HAND2	10.54827249
C1S	-5.563406033
PLIN2	-5.584368306
UACA	-5.682669124
MAMDC2	-6.238414404
AHNAK2	-5.4381645
RNF144A	10.53971621
WNT9A	-10.53338263
QSOX1	-5.410517859
NRL	5.742174192
ST7	-6.927430813
PROS1	-5.705177359
ADAP1	7.842992695
DAAM2	-5.701539972
POU3F1	10.53110888
DIRAS1	5.933303922
DAW1	-10.5119175
APOL6	-6.3412995
COL11A2	5.519618826
CACNA1I	7.822731018
CTD-3148I10.1	7.822731018
LRFN2	10.51373862
ARSJ	-10.5046909
JAM2	7.809063397
DFNA5	-5.699215267
KIAA0408	10.50497443
PALM3	10.50497443
STS	-10.49742791
ETV5	-7.550048653
CENPV	5.44701008
HRH3	10.49615667
RP11-685G9.2	10.49615667
SVOP	10.49615667
DDX43	-10.49012818
RAP1GAP	6.406238233
MYL4	10.4783578
KLK11	-10.47541696
TNFRSF9	-7.532848737
COL2A1	10.46937534
NLRP2	10.46937534
TMEM176A	10.46937534
MBNL2	-5.713503948
CAPN2	-5.34678071
STC1	10.4603366
ARHGAP31	-10.45306498
FOXQ1	-5.378693569
NOTUM	10.45124087
TBC1D8B	-10.4455367
TCF20	5.552143435
CHST2	-5.662735254
BEGAIN	-5.380144642
EMX1	6.549477491
AATK	5.388347952
ENPP2	-6.432478003
CABP5	10.44208744
HERC6	-6.826949654
SEMA6B	5.336465646
GYLTL1B	10.43287555
GRAMD3	-6.4190305
MAML3	10.42360447
AC015987.2	-10.41502446
TM4SF18	-10.41502446
GSG1L	6.525443327
TBC1D2B	-6.806990704
CDHR5	10.41427343
MEG3	10.41427343
ARHGAP29	-5.403043474
CD97	-6.234193947
RNF128	-10.39952288
RAMP1	7.060935982
SLC16A2	-5.444148959
CPNE9	10.39542831
NXNL1	10.39542831
NRARP	6.014309838
FGF11	10.38591263
C19orf33	-10.37595367
TNIK	-5.511296309
DCBLD2	-5.273315958
ACP5	10.37633377
COMP	10.37633377
DLX4	10.37633377
BNC2	-6.766224836
ITGB1	-5.255789054
MSRB3	-6.069177269
GLB1L3	10.36669089
ZNF117	10.36669089
SQRDL	-6.360437536
SSTR1	-7.418878514
INPP4B	-6.750635681
GLS	-5.260130304
ADCY7	5.852871696
PPP2R2C	10.33736938
C2CD4C	6.25374322
PCYT1B	-10.31941357
ONECUT2	5.50014023
IL12A	-10.31115244
NUPR1	-5.513435683
CDCP1	-5.827477816
CTSC	-5.253261199
TRIM16L	-5.434569567
BCAR3	-5.231020896
ABCC2	-10.28608138
ADPRHL1	5.771035583
OLFM2	5.391749116
AC066593.1	5.554377658
RTBDN	5.988744563
SYT4	10.27687562
HFE	-7.322076385
IFI44	-6.670058375
GPR153	10.26654205
GSPT2	-10.26056692
PLOD2	-5.189935706
RASL10B	5.656840824
HS3ST4	7.57069071
CTD-2314B22.3	-7.315385988
GEM	-5.417795919
PMP22	-5.352198789
DTX4	-6.636523633
SRPX	-6.636523633
C15orf59	5.806029115
C2orf71	10.23508965
CNGB1	10.23508965
CTD-2116F7.1	10.23508965
MLXIPL	5.86235437
SLIT2	-6.625169897
BEND4	10.22445127
RP11-13K12.1	10.22445127
LATS2	-5.675184807
AJUBA	-5.199558906
ELAVL2	10.21373387
MYOD1	10.21373387
PPP1R16B	10.21373387
RP11-554I8.2	-10.20814306
SLC46A3	-10.19921751
BOC	-6.449289292
GRTP1	5.724659536
ATP2A3	10.20293625
VMO1	10.20293625
ADAM12	-10.1902364
DMRTA1	-10.1902364
MCTP1	-10.1902364
OPLAH	-5.900387509
ZNF358	-5.214619152
MYD88	-5.717609623
GUCA1A	10.1920572
KRT34	-10.18119902
ATCAY	10.1810955
RAB39A	10.1810955
ATL1	10.17004987
CES1	10.17004987
CFC1	10.17004987
SPAG4	-10.16295264
SLC38A2	5.285770597
FAM225A	10.15891902
DOK5	-10.15374218
SFMBT2	-6.400400346
LPP	-5.989045454
LPHN1	5.132846752
GAL3ST3	6.083203084
AP001046.5	10.14770162
LHFPL4	10.14770162
RGPD2	10.14770162
CFH	-10.14447254
FAM109B	-10.14447254
IL17RE	-10.14447254
C1R	-5.168056924
APOE	5.121746763
CLMP	-5.55027574
CD59	-5.035549588
SERPINF1	5.117294611
MMP16	-10.13514295
GFRA1	-5.182798051
RAC2	-5.966914235
GALNT18	-6.373018457
AC006262.5	-7.189328938
LAMC3	10.13639632
PYY	10.13639632
XDH	-10.12575264
LRP10	-5.02217984
PAX5	7.434897626
HTR3A	10.12500173
FRAS1	-10.1163008
CSF1	-5.218249936
CLSTN2	-5.193629253
TMTC1	-5.50832498
PTER	-7.17461772
NTNG2	5.102284847
MIR31HG	-10.10678664
STRA6	5.228164426
OLFML2A	5.530110377
SLC45A3	5.100144071
SYT7	5.160210797
TNFSF12	-5.45382448
RIN1	-5.175896647
SOWAHA	6.20822276
DUSP15	10.09026782
HBA2	10.09026782
LRRC38	10.09026782
RP11-168O16.1	10.09026782
SFT2D3	10.09026782
FAM221A	-10.07786178
NMI	-10.07786178
PSD4	-5.444029133
NTN4	-5.610723776
ADRA2A	5.660469918
3-Sep	5.203861822
INHBB	5.791672388
LMO1	5.884848011
FAM19A4	10.0785015
NKX6-2	10.0785015
ELOVL7	-10.06808984
VWA5B2	5.471015301
CCDC141	5.87326529
PDE6C	10.06663843
TUB	10.06663843
NPAS2	-10.05825126
DACT3	5.189923906
NCOA7	-6.456054722
SEZ6L	10.054677
TMEM35	10.054677
IFNL1	-10.04834513
RP11-380J14.1	-10.04834513
EPAS1	-5.087345178
SIPA1	6.723760398
L3HYPDH	-5.510400022
HOXA3	10.04261557
GTF2IRD2B	-6.043019907
CELF2	-6.03862997
PPP3CC	-5.220951099
MRC2	-5.032283839
EVA1C	-10.01821194
MGAT4B	-4.927907867
SLC7A8	-5.48149527
H2AFY2	5.131153837
SEMA6C	4.932147652
CHRNA4	10.01818591
CLDN19	10.01818591
CTD-2545M3.8	10.01818591
PEAR1	-10.00802604
ZNF365	-9.997767711
PLXDC1	6.122699127
RASGEF1B	5.297505152
ADAMTS10	10.00581417
CACNA2D4	10.00581417
CTD-2105E13.6	10.00581417
SYNDIG1	10.00581417
USP43	-9.987435918
ZFP36L1	-4.907275696
F7	9.993335432
FRRS1L	9.993335432
RP11-143K11.1	9.993335432
SORBS3	-4.944210387
DCHS1	5.034742766
ITPR2	9.968049395
RP11-13K12.5	9.968049395
EFCAB4A	5.673666225
ATP8B1	-5.318649032
RP11-473M20.5	-5.961881676
INPP5D	9.955238215
PCSK6	9.955238215
TMEM176B	9.955238215
MIR155HG	-9.945352552
ANTXR1	-5.009761525
FOXO6	4.933762966
ZNF518B	7.26509825
NGF	-5.307541798
JUP	4.917170171
S100A6	-4.831764065
DEF6	9.942312252
GS1-72M22.1	9.942312252
HBA1	9.942312252
NKX6-1	9.942312252
RPGRIP1	9.942312252
SMIM10	-9.934637065
CBX2	4.891153206
ST7-AS1	-6.985282139
ROBO4	-9.923841394
RP4-668J24.2	-9.923841394
BHLHE41	-5.640694119
GPR62	5.189226922
SPHK1	-4.816117901
FAM135B	9.916107616
KRBOX1	9.916107616
MAGEA2B	9.916107616
MMD2	9.916107616
RPS6KA3	-4.99138612
ELF3	5.042905443
SEMA3C	-4.892374608
MXRA8	4.838063405
MPP5	-5.082574513
LOXL2	-4.804022725
LGI4	5.393579645
SLC6A11	9.902824619
RASGRP2	7.20374686
RPRML	6.559746489
APOBEC2	9.889418188
SCN1B	4.994951509
DDX60L	-6.933793854
BARX1	9.875886006
TRIM2	9.875886006
AFP	-9.857313813
PDE10A	-9.857313813
PARP14	-5.19203216
RAB31	-5.058177202
BMP6	-6.264450183
CYBRD1	-4.979515463
LNX1	-5.182786114
VEPH1	-9.845921394
PSD2	5.494488781
PDGFRB	-6.907343818
SELPLG	-6.907343818
RHOJ	-6.898418268
RORB	5.339149709
